ID,グループ,施設名,郵便番号,所在地,緯度,経度,電話番号
62,大学関連,徳島大学総合科学部,770-8502,徳島市南常三島町1-1,,,088-656-7103
63,大学関連,徳島大学医学部,770-8503,徳島市蔵本町3-18-15,,,088-633-9116
64,大学関連,徳島大学歯学部,770-8504,徳島市蔵本町3-18-15,,,088-633-9100
65,大学関連,徳島大学薬学部,770-8505,徳島市庄町1-78-1,,,088-633-7245
66,大学関連,徳島大学工学部,770-8506,徳島市南常三島町2-1,,,088-656-7304
67,大学関連,徳島大学病院,770-8503,徳島市蔵本町2-50-1,,,088-631-3111
68,大学関連,鳴門教育大学,772-8502,鳴門市鳴門町高島字中島748,,,088-687-6000
69,大学関連,京都大学防災研究所 徳島地すべり観測所,778-0020,三好市池田町州津藤ノ井492-1,,,0883-72-1075
70,大学関連,阿南工業高等専門学校,774-0017,阿南市見能林町青木265,,,0884-23-7100
71,病院関連,徳島病院,776-8585,吉野川市鴨島町敷地1354,,,0883-24-2161
72,病院関連,東徳島医療センター,779-0193,板野郡板野町大寺字大向北1-1,,,088-672-1171
73,病院関連,徳島県鳴門病院,772-8503,鳴門市撫養町黒崎字小谷32,,,088-683-0011
74,多目的施設,ふれあい健康館,770-8053,徳島市沖浜東2-16,,,088-657-0190
75,多目的施設,うだつアリーナ,779-3620,美馬市脇町新町196,,,0883-53-2424
76,多目的施設,サンリバー大歩危,779-5451,三好市山城町西宇1259-1,,,0883-84-2111
77,多目的施設,いやしの里増川笑楽耕,771-2503,三好郡東みよし町東山字増川264-2,,,0883-79-5582
78,図書館,徳島県立図書館,770-8070,徳島市八万町向寺山　文化の森総合公園内,,,088-668-3500
79,図書館,徳島市立図書館,770-0834,徳島市元町1-24　アミコビル内,,,088-654-4421
80,図書館,鳴門市立図書館,772-0011,鳴門市撫養町大桑島字蛭子山49,,,088-685-0255
81,図書館,小松島市立図書館・生涯学習ｾﾝﾀｰ,773-0001,小松島市小松島町字新港29-11,,,0885-32-1100
82,図書館,阿南市立阿南図書館,774-0011,阿南市領家町本荘ヶ内121,,,0884-23-2020
83,図書館,阿南市立那賀川図書館,779-1235,阿南市那賀川町苅屋308-1,,,0884-42-3111
84,図書館,阿南市立羽ノ浦図書館,779-1101,阿南市羽ノ浦町中庄上ナカレ16-3,,,0884-44-2100
85,図書館,吉野川市立川島図書館,776-0000,吉野川市川島町?繿ｺ883-1,,,0883-25-3141
86,図書館,吉野川市立山川図書館,779-3404,吉野川市山川町北島19-7,,,0883-42-5222
87,図書館,阿波市立吉野笠井図書館,771-1402,阿波市吉野町西条字大内13,,,088-696-4686
88,図書館,阿波市立土成図書館,771-1506,阿波市土成町土成字漆畑220,,,088-695-5385
89,図書館,阿波市立市場図書館,771-1700,阿波市市場町市場字上野段212-2,,,0883-36-6455
90,図書館,阿波市立阿波図書館,771-1703,阿波市阿波町東原167-1,,,0883-35-5101
91,図書館,美馬市立図書館（脇町）,779-3600,美馬市脇町大字脇町154-1,,,0883-53-9666
92,図書館,三好市中央図書館,778-0002,三好市池田町マチ2183　サンライズビル4階,,,0883-72-2781
93,図書館,三好市井川図書館,779-4802,三好市井川町岡野前64,,,0883-78-4311
94,図書館,勝浦町図書館,771-4300,勝浦郡勝浦町大字久国字久保田2-1,,,0885-42-2300
95,図書館,佐那河内村立図書館,771-4101,名東郡佐那河内村下字中辺71-1,,,088-679-2817
96,図書館,木頭図書館,771-6403,那賀郡那賀町木頭和無田字マツギ40,,,0884-68-2226
97,図書館,牟岐町立図書館,775-0000,海部郡牟岐町大字川長字新光寺82,,,0884-72-2300
98,図書館,日和佐図書・資料館,779-2305,海部郡美波町奥河内字弁才天5-1,,,0884-77-2733
99,図書館,海陽町立海南図書館,775-0202,海部郡海陽町四方原字旭町38-1,,,0884-73-3591
100,図書館,海陽町立宍喰図書館,775-0501,海部郡海陽町宍喰浦字宍喰375,,,0884-76-1030
101,図書館,松茂町立図書館,771-0220,板野郡松茂町広島字四番越6-1,,,088-699-8722
102,図書館,北島町立図書館,771-0207,板野郡北島町新喜来字南古田91,,,088-698-1100
103,図書館,藍住町立図書館,771-1201,板野郡藍住町奥野字猪熊175-2,,,088-692-0070
104,図書館,板野町文化の館・図書館,779-0108,板野郡板野町犬伏東谷13-1,,,088-672-5888
105,図書館,東みよし町立図書館,779-4702,三好郡東みよし町西庄字横手51,,,0883-82-1150
106,博物館，美術館，歴史資料館等,徳島県立博物館,770-8070,徳島市八万町向寺山　文化の森総合公園内,,,088-668-3636
107,博物館，美術館，歴史資料館等,徳島県立近代美術館,770-8070,徳島市八万町向寺山　文化の森総合公園内,,,088-668-1088
108,博物館，美術館，歴史資料館等,徳島県立文書館,770-8070,徳島市八万町向寺山　文化の森総合公園内,,,088-668-3700
109,博物館，美術館，歴史資料館等,徳島県立鳥居龍蔵記念博物館,770-8070,徳島市八万町向寺山　文化の森総合公園内,,,088-668-2544
110,博物館，美術館，歴史資料館等,徳島県立文学書道館,770-0807,徳島市中前川町2-22-1,,,088-625-7485
111,博物館，美術館，歴史資料館等,阿波十郎兵衛屋敷,771-0114,徳島市川内町宮島本浦184,,,088-665-2202
112,博物館，美術館，歴史資料館等,徳島市立徳島城博物館,770-0851,徳島市徳島町城内1-8,,,088-656-2525
113,博物館，美術館，歴史資料館等,徳島市立考古資料館,779-3127,徳島市国府町西矢野字奥谷10-1,,,088-637-2526
114,博物館，美術館，歴史資料館等,とくしま動物園,771-4267,徳島市渋野町入道22-1,,,088-636-3215
115,博物館，美術館，歴史資料館等,とくしま植物園,771-4267,徳島市渋野町入道45-1,,,088-636-3131
116,博物館，美術館，歴史資料館等,大塚国際美術館,772-0053,鳴門市鳴門町土佐泊浦字福池65-1,,,088-687-3737
117,博物館，美術館，歴史資料館等,大鳴門橋架橋記念館「エディ」,772-0053,鳴門市鳴門町土佐泊浦字福池65,,,088-687-1330
118,博物館，美術館，歴史資料館等,鳴門市ドイツ館,772-0000,鳴門市大麻町桧字東山田55-2,,,088-689-0099
119,博物館，美術館，歴史資料館等,鳴門市賀川豊彦記念館,772-0000,鳴門市大麻町桧字東山田50-2,,,088-689-5050
120,博物館，美術館，歴史資料館等,阿波大正浪漫バルトの庭,772-0000,鳴門市大麻町桧字野神ノ北22-1,,,088-689-2163
121,博物館，美術館，歴史資料館等,鳴門ガレの森美術館,772-0016,鳴門市撫養町林崎字北殿町149,,,088-684-4445
122,博物館，美術館，歴史資料館等,阿南市立ふるさと館,774-0023,阿南市橘町土井崎115-16,,,0884-34-2161
123,博物館，美術館，歴史資料館等,牛岐城趾館,774-0030,阿南市富岡町トノ町24-3,,,0884-22-1798
124,博物館，美術館，歴史資料館等,Waンダーランド,779-1620,阿南市福井町舟端1,,,0884-34-3251
125,博物館，美術館，歴史資料館等,阿南市科学ｾﾝﾀｰ･天文館,779-1243,阿南市那賀川町上福井南川渕8-1,,,0884-42-1600
126,博物館，美術館，歴史資料館等,阿南市立阿波公方・民俗資料館,779-1234,阿南市那賀川町古津339-1,,,0884-42-2966
127,博物館，美術館，歴史資料館等,川島城,779-3301,吉野川市川島町川島136-1,,,0883-25-4666
128,博物館，美術館，歴史資料館等,阿波和紙伝統産業会館,779-3401,吉野川市山川町川東141,,,0883-42-6120
129,博物館，美術館，歴史資料館等,吉野川市美郷ほたる館,776-0000,吉野川市美郷字宗田82-1,,,0883-43-2888
130,博物館，美術館，歴史資料館等,土成歴史館,771-1506,阿波市土成町土成字丸山46-1,,,088-695-5038
131,博物館，美術館，歴史資料館等,市場歴史民俗資料館,771-1700,阿波市市場町市場字上野段212-2,,,0883-36-6455
132,博物館，美術館，歴史資料館等,美馬市観光文化資料館,779-3600,美馬市脇町大字脇町92,,,0883-53-8599
133,博物館，美術館，歴史資料館等,藍商佐直吉田家住宅,779-3600,美馬市脇町大字脇町53,,,0883-53-0960
134,博物館，美術館，歴史資料館等,美馬郷土博物館,779-3600,美馬市美馬町字願勝寺8,,,0883-63-2177
135,博物館，美術館，歴史資料館等,中尾山高原民俗資料館,779-3600,美馬市木屋平字太合カケ445-1,,,0883-63-2177
136,博物館，美術館，歴史資料館等,三木家資料館,779-3600,美馬市木屋平字貢142-2,,,0883-63-2177
137,博物館，美術館，歴史資料館等,阿波池田うだつの家・たばこ資料館,778-0002,三好市池田町マチ2465-1,,,0883-72-3450
138,博物館，美術館，歴史資料館等,ラピス大歩危,779-5452,三好市山城町上名1553-1,,,0883-84-1489
139,博物館，美術館，歴史資料館等,三好市井川民俗資料館,779-4802,三好市井川町岡野前64,,,0883-78-4311
140,博物館，美術館，歴史資料館等,東祖谷歴史民俗資料館,778-0204,三好市東祖谷京上14-3,,,0883-88-2170
141,博物館，美術館，歴史資料館等,武家屋敷旧喜多家,778-0204,三好市東祖谷大枝43,,,0120-404-344
142,博物館，美術館，歴史資料館等,平家屋敷民俗資料館,778-0105,三好市西祖谷山村東西岡46,,,0883-84-1408
143,博物館，美術館，歴史資料館等,徳島県立いきものふれあいの里　ネイチャーセンター,771-4102,名東郡佐那河内村上字大川原5-8,,,088-679-2238
144,博物館，美術館，歴史資料館等,相生森林美術館,771-5411,那賀郡那賀町横石字大板34,,,0884-62-1117
145,博物館，美術館，歴史資料館等,モラスコむぎ,775-0000,海部郡牟岐町大字灘字下浜辺198-1,,,0884-72-2520
146,博物館，美術館，歴史資料館等,ぽっぽマリン,779-2103,海部郡美波町西の地字東地74-3,,,0884-78-2933
147,博物館，美術館，歴史資料館等,日和佐うみがめ博物館,779-2304,海部郡美波町日和佐浦370-4,,,0884-77-1110
148,博物館，美術館，歴史資料館等,海陽町立博物館,775-0202,海部郡海陽町四方原字杉谷73,,,0884-73-4080
149,博物館，美術館，歴史資料館等,松茂町歴史民俗資料館・人形浄瑠璃芝居資料館,771-0220,板野郡松茂町広島字四番越11-1,,,088-699-5995
150,博物館，美術館，歴史資料館等,藍の館,771-1210,板野郡藍住町徳命字前須西172,,,088-692-6317
151,博物館，美術館，歴史資料館等,埋蔵文化財総合センター,779-0108,板野郡板野町犬伏字平山86-2,,,088-672-4545
152,博物館，美術館，歴史資料館等,彩りの舘,779-0108,板野郡板野町犬伏字平山4-6-1,,,088-672-5445
153,博物館，美術館，歴史資料館等,あすたむらんど徳島,779-0111,板野郡板野町那東字キビガ谷45-22,,,088-672-7111
154,博物館，美術館，歴史資料館等,上板町技の館,771-1310,板野郡上板町泉谷字原東32-4,,,088-637-6555
155,博物館，美術館，歴史資料館等,上板町立歴史民俗資料館,771-1310,板野郡上板町泉谷字原中筋8-1,,,088-694-5688
156,博物館，美術館，歴史資料館等,旧永井家庄屋屋敷,779-4100,美馬郡つるぎ町貞光字西浦37,,,0883-62-2018
157,博物館，美術館，歴史資料館等,織本屋,779-4100,美馬郡つるぎ町貞光字町83-2,,,0883-62-2009
158,博物館，美術館，歴史資料館等,東みよし町歴史民俗資料館,779-4703,三好郡東みよし町中庄1189,,,0883-82-3964
159,文化・イベント施設,アスティとくしま,770-8055,徳島市山城町東浜傍示1,,,088-624-5111
160,文化・イベント施設,あわぎんホール徳島県郷土文化会館,770-0835,徳島市藍場町2-14,,,088-622-8121
161,文化・イベント施設,とくぎんトモニプラザ徳島県青少年センター,770-0851,徳島市徳島町城内2-1,,,088-625-3852
162,文化・イベント施設,徳島県立二十一世紀館,770-8070,徳島市八万町向寺山　文化の森総合公園内,,,088-668-1111
163,文化・イベント施設,徳島市立文化センター,770-0851,徳島市徳島町城内1,,,088-653-2185
164,文化・イベント施設,阿波おどり会館,770-0904,徳島市新町橋2-20,,,088-611-1611
165,文化・イベント施設,鳴門市文化会館,772-0003,鳴門市撫養町南浜字東浜24-7,,,088-685-7088
166,文化・イベント施設,小松島市中央会館,773-0003,小松島市松島町5-6,,,0885-32-2030
167,文化・イベント施設,ミリカホール,773-0001,小松島市小松島町字新港9-10,,,0885-32-3565
168,文化・イベント施設,阿南市市民会館,774-0030,阿南市富岡町北通9,,,0884-22-7000
169,文化・イベント施設,阿南ひまわり会館,774-0030,阿南市富岡町北通33-1,,,0884-23-6600
170,文化・イベント施設,阿南市文化会館,774-0030,阿南市富岡町西池田135-1,,,0884-21-0808
171,文化・イベント施設,阿南市商工業振興センター,774-0030,阿南市富岡町今福寺34-4,,,0884-24-3232
172,文化・イベント施設,阿南市情報文化センター,779-1101,阿南市羽ノ浦町中庄上ナカレ16-3,,,0884-44-5000
173,文化・イベント施設,吉野川市文化研修センター,776-0010,吉野川市鴨島町鴨島696-14,,,0883-22-0015
174,文化・イベント施設,吉野川市アメニティセンター,779-3401,吉野川市山川町翁喜台95-1,,,0883-42-6611
175,文化・イベント施設,吉野川市ふるさとセンター,776-0000,吉野川市美郷字中筋194-1,,,0883-43-2811
176,文化・イベント施設,脇町劇場「オデオン座」,779-3600,美馬市脇町大字猪尻字西分140-1,,,0883-52-3807
177,文化・イベント施設,海の総合文化センター,775-0000,海部郡牟岐町大字川長字新光寺82,,,0884-72-0107
178,文化・イベント施設,美波町コミュニティホール,779-2305,海部郡美波町奥河内字本村22-1,,,0884-77-3611
179,文化・イベント施設,児童館マーメイド,779-2305,海部郡美波町奥河内字井ノ上22-3,,,0884-77-2111
180,文化・イベント施設,海南文化館,775-0202,海部郡海陽町四方原字杉谷73,,,0884-73-3100
181,文化・イベント施設,松茂町総合会館,771-0220,板野郡松茂町広島字東裏30,,,088-699-8719
182,文化・イベント施設,北島町立創世ホール,771-0207,板野郡北島町新喜来字南古田91,,,088-698-1100
183,文化・イベント施設,北島町生涯学習センター,771-0203,板野郡北島町中村字川田9-1,,,088-698-7118
184,文化・イベント施設,藍住町町民会館,771-1201,板野郡藍住町奥野字矢上前32-1,,,088-692-9951
185,文化・イベント施設,藍住町コミュニティセンター,771-1201,板野郡藍住町奥野字矢上前52-,,,088-637-3130
186,スポーツ・健康施設,ＪＡバンク蔵本公園,770-0044,徳島市庄町1-76-2,,,088-631-7549(球場事務所)
187,スポーツ・健康施設,徳島市陸上競技場,770-0004,徳島市南田宮2-116-2,,,088-631-1477
188,スポーツ・健康施設,徳島市立スポーツセンター,771-0142,徳島市川内町沖島571-2,,,088-665-5171
189,スポーツ・健康施設,中央武道館,770-0851,徳島市徳島町城内6,,,088-652-1831
190,スポーツ・健康施設,徳島市B&G海洋センター,770-8011,徳島市論田町中開47-2,,,088-662-4535
191,スポーツ・健康施設,徳島市立体育館,770-0851,徳島市徳島町城内6,,,088-654-5188
192,スポーツ・健康施設,徳島市球技場,779-3133,徳島市入田町安都真220,,,088-644-1888
193,スポーツ・健康施設,大神子ﾃﾆｽｾﾝﾀｰ,770-8012,徳島市大原町大神子7-1,,,088-662-6030
194,スポーツ・健康施設,鳴門・大塚ｽﾎﾟｰﾂパーク,772-0017,鳴門市撫養町立岩字四枚61,,,088-685-3131
195,スポーツ・健康施設,鳴門市総合運動場(市営球場),772-0002,鳴門市撫養町斎田字大池76,,,088-686-8804
196,スポーツ・健康施設,鳴門勤労者体育センター,772-0011,鳴門市撫養町大桑島字濘岩浜35-8,,,088-686-8804
197,スポーツ・健康施設,鳴門市市民会館,772-0003,鳴門市撫養町南浜字東浜170,,,088-684-1181
198,スポーツ・健康施設,鳴門市体操場,772-0042,鳴門市大津町備前島字松の本219,,,088-685-4046
199,スポーツ・健康施設,鳴門ウチノ海総合公園,772-0051,鳴門市鳴門町高島字北679,,,088-687-3175
200,スポーツ・健康施設,小松島市立体育館・武道館,773-0017,小松島市立江町字赤石74-2,,,0885-38-1788
201,スポーツ・健康施設,総合グラウンド,773-0015,小松島市中田町字脇谷,,,0885-32-0643
202,スポーツ・健康施設,徳島・小松島港和田島緑地-JAあいさい緑地-(あいさいスタジアム，あいさい球場),773-0031,小松島市和田島町松田新田165-20,,,0885-37-1400
203,スポーツ・健康施設,小松島市営プール,773-0017,小松島市立江町字赤石74-6,,,0885-38-2333
204,スポーツ・健康施設,阿南市南部ふるさと ふれあい運動公園,774-0023,阿南市橘町土井崎34,,,0884-22-3394
205,スポーツ・健康施設,阿南市那賀川河川敷緑地運動広場,774-0042,阿南市横見町長岡後2番1地先,,,0884-22-3394
206,スポーツ・健康施設,阿南市B&G海洋センター体育館,774-0021,阿南市津乃峰町長浜387,,,0884-27-2427
207,スポーツ・健康施設,阿南市スポーツ総合センター 体育館,774-0012,阿南市七見町下川田100-1,,,0884-22-2300
208,スポーツ・健康施設,阿南市スポーツ総合センター 温水プール,774-0012,阿南市七見町下川田100-1,,,0884-22-8733
209,スポーツ・健康施設,阿南市那賀川スポーツセンター,779-1235,阿南市那賀川町苅屋354-1,,,0884-42-0390
210,スポーツ・健康施設,阿南市羽ノ浦総合国民体育館,779-1102,阿南市羽ノ浦町宮倉沢田100,,,0884-44-5525
211,スポーツ・健康施設,阿南市羽ノ浦健康スポーツランド,779-1102,阿南市羽ノ浦町宮倉沢田132,,,0884-44-3000
212,スポーツ・健康施設,阿南市羽ノ浦プール,779-1102,阿南市羽ノ浦町宮倉沢田73-3,,,0884-44-3000
213,スポーツ・健康施設,阿南市武道館,774-0022,阿南市大潟町210-56,,,0884-28-1533
214,スポーツ・健康施設,阿南西部公園,774-0048,阿南市中大野町南傍示658-8,,,0884-22-1178
215,スポーツ・健康施設,徳島県南部健康運動公園 JAアグリあなんスタジアム,779-1402,阿南市桑野町桑野谷34-1,,,0884-26-1885
216,スポーツ・健康施設,橘湾中浦緑地,774-0023,阿南市橘町中浦,,,0884-28-0413
217,スポーツ・健康施設,吉野川市鴨島体育館,776-0011,吉野川市鴨島町鴨島甲１,,,0883-22-2271
218,スポーツ・健康施設,吉野川市牛島体育館,776-0001,吉野川市鴨島町牛島番外3-1,,,0883-22-2271
219,スポーツ・健康施設,吉野川市川島体育館,776-0000,吉野川市川島町?繿ｺ2424-1,,,0883-22-2271
220,スポーツ・健康施設,吉野川市山川体育館,779-3404,吉野川市山川町大塚152,,,0883-22-2271
221,スポーツ・健康施設,吉野川市総合ｽﾎﾟｰﾂ運動場,779-3401,吉野川市山川町恵下45-1,,,0883-22-2271
222,スポーツ・健康施設,バンブーパーク,779-3403,吉野川市山川町前川263-1,,,0883-22-2226
223,スポーツ・健康施設,土成緑の丘スポーツ公園,771-1506,阿波市土成町土成字北原1,,,088-695-5001
224,スポーツ・健康施設,土成農業者トレーニングセンター,771-1506,阿波市土成町土成字漆畑177-1･177-2,,,088-695-5305
225,スポーツ・健康施設,阿波体育館,771-1703,阿波市阿波町丸山22,,,088-696-3969
226,スポーツ・健康施設,阿波市民球場,771-1703,阿波市阿波町丸山24-1,,,088-696-3969
227,スポーツ・健康施設,土柱山村広場(そよ風広場),771-1705,阿波市阿波町桜ノ岡,,,0883-35-7875
228,スポーツ・健康施設,うだつアリーナ,779-3620,美馬市脇町新町196,,,0883-53-2424
229,スポーツ・健康施設,美馬モーターランド,779-3600,美馬市美馬町字虎杖佐古35-1,,,0883-63-2926
230,スポーツ・健康施設,美馬スカイスポーツサイト,771-2103,美馬市美馬町三頭山,,,090-1176-5651
231,スポーツ・健康施設,穴吹スポーツセンター,777-0005,美馬市穴吹町穴吹字藪ノ下5,,,0883-53-8888
232,スポーツ・健康施設,美村が丘スカイスポーツサイト,779-3600,美馬市脇町字東大谷18,,,0883-52-5650
233,スポーツ・健康施設,三好市健康とふれあいの森,771-2304,三好市三野町芝生1342-3,,,0883-77-4320
234,スポーツ・健康施設,三好市三野体育施設(体育館，ｸﾞﾗｳﾝﾄﾞ),771-2304,三好市三野町芝生1293-30,,,0883-77-2133
235,スポーツ・健康施設,三好市池田総合体育館,778-0002,三好市池田町マチ2551-1,,,0883-72-5755
236,スポーツ・健康施設,三好市山城総合グランド,779-5307,三好市山城町相川415,,,0883-86-1135
237,スポーツ・健康施設,イカワxパーク,779-4806,三好市井川町西井川1919-1,,,0883-78-3430
238,スポーツ・健康施設,吉野川運動公園,778-0014,三好市池田町イタノ3184,,,0883-72-5755
239,スポーツ・健康施設,箸蔵近隣公園,778-0020,三好市池田町州津藤の井386-5,,,0883-72-5755
240,スポーツ・健康施設,板野市民プール,778-0014,三好市池田町イタノ3300-1,,,0883-72-3917
241,スポーツ・健康施設,中西市民プール,779-5161,三好市池田町中西ナガウチ290-6,,,0883-72-3917
242,スポーツ・健康施設,西山浜市民プール,778-0040,三好市池田町西山枇杷木谷4324-11,,,0883-72-3917
243,スポーツ・健康施設,塩塚高原四輪バギーランド,779-5337,三好市山城町平野205,,,0883-86-3077
244,スポーツ・健康施設,勝浦町星谷運動公園,771-4304,勝浦町星谷字石田19-1,,,0885-42-2515
245,スポーツ・健康施設,勝浦フライトパーク,771-4307,勝浦町三渓字東婆羅尾114,,,0885-42-1505
246,スポーツ・健康施設,佐那河内村中央運動公園,771-4101,名東郡佐那河内村下字南浦,,,088-679-2817
247,スポーツ・健康施設,前山公園(ｸﾞﾗｳﾝﾄﾞ，ﾃﾆｽコート),779-3200,名西郡石井町石井字城ノ内,,,088-675-1300
248,スポーツ・健康施設,前山公園体育館,779-3200,名西郡石井町石井字城ノ内923,,,088-675-1300
249,スポーツ・健康施設,飯尾川公園(いしいドーム),779-3200,名西郡石井町高川原字高川原2115-3,,,088-675-2211
250,スポーツ・健康施設,神山町民総合運動公園(ｸﾞﾗｳﾝﾄﾞ，ﾃﾆｽｺｰﾄ，体育館),771-3310,名西郡神山町神領字大埜地,,,088-676-1177
251,スポーツ・健康施設,わじきB&Gｶﾔｯｸｽｸｰﾙ,771-5203,那賀郡那賀町和食郷字田野89,,,0884-62-3011
252,スポーツ・健康施設,鷲敷B&G海洋センター体育館,771-5206,那賀郡那賀町百合字松の木170,,,0884-62-1300
253,スポーツ・健康施設,那賀町鷲敷野外活動ｾﾝﾀｰ,771-5206,那賀郡那賀町百合字松の木178,,,0884-62-2524
254,スポーツ・健康施設,内妻グランド,775-0007,海部郡牟岐町内妻字白木,,,0884-72-0107
255,スポーツ・健康施設,牟岐海洋センター,775-0004,海部郡牟岐町川長字大坪100-2,,,0884-72-3304
256,スポーツ・健康施設,由岐B&G海洋センター,779-2109,海部郡美波町田井字小野52,,,0884-78-0201
257,スポーツ・健康施設,日和佐総合体育館,779-2305,海部郡美波町奥河内字櫛ヶ谷263-1,,,0884-77-3001
